1
1,0,6,0,0,0
1,1,6,0,0,0
0,0,6,6,9,0
0,0,0,0,9,0
3,0,3,0,0,0

1,0,6,0,0,0
1,0,0,0,0,0
0,0,0,6,9,0
0,0,0,0,9,9
3,3,3,0,9,0

2
1,0,0,0,0,0
1,1,0,0,7,0
8,0,0,0,0,7
8,8,0,0,0,10
0,8,0,10,10,10

1,0,0,0,0,0
1,0,0,0,7,7
8,0,0,0,0,7
8,0,0,0,0,0
0,0,0,10,0,10

47
0,0,0,0,10,10
11,0,0,0,0,10
11,0,0,0,0,10
6,6,6,0,0,0
6,0,0,0,0,0

0,0,0,0,0,10
11,0,0,0,0,0
11,0,0,0,0,10
11,0,6,0,0,0
6,0,0,0,0,0

48
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,7,0,0,1,9
0,0,7,1,1,9

0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,9
0,7,0,0,9,9
0,7,7,1,1,9

43
0,0,6,0,0,0
0,0,6,0,0,0
8,0,6,6,0,0
8,8,0,0,0,0
3,8,3,0,0,0

0,0,6,0,0,0
0,0,0,0,0,0
8,0,0,6,0,0
8,0,0,0,0,0
3,3,3,0,0,0

37
0,0,0,5,3,0
0,0,0,5,0,0
1,0,0,0,3,0
1,1,0,0,0,0
0,0,0,0,0,0

0,0,5,5,3,0
0,0,0,5,3,0
1,0,0,0,3,0
1,0,0,0,0,0
0,0,0,0,0,0

51
3,0,0,0,0,0
0,0,0,0,0,0
3,0,0,0,10,0
0,0,10,10,10,0
0,0,0,0,0,0

3,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
0,0,10,0,10,0
0,0,0,0,0,0

56
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,5,5
0,0,0,0,0,0

0,1,1,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,5,5
0,0,0,0,5,0

57
0,0,0,0,6,0
0,0,0,0,0,0
0,0,0,6,0,0
0,0,0,0,0,0
0,0,0,0,0,0

0,0,0,6,6,0
0,0,0,6,0,0
0,0,0,6,0,0
0,0,0,0,0,0
0,0,0,0,0,0


